Station,Year,Month,Day,Rainfall
10120,1981,11,14,0
10120,1981,11,15,0
10120,1981,11,16,0
10120,1981,11,17,0
10120,1981,11,18,0
10120,1981,11,19,0
10120,1981,11,20,0
10120,1981,11,21,0
10120,1981,11,22,0
10120,1981,11,23,0
10120,1981,11,24,0
10120,1981,11,25,0
10120,1981,11,26,0
10120,1981,11,27,0
10120,1981,11,28,0
10120,1981,11,29,0
10120,1981,11,30,0
10120,1981,12,1,0
10120,1981,12,2,0
10120,1981,12,3,0
10120,1981,12,4,0
10120,1981,12,5,0
10120,1981,12,6,0
10120,1981,12,7,0
10120,1981,12,8,0
10120,1981,12,9,0
10120,1981,12,10,5
10120,1981,12,11,38
10120,1981,12,12,1
10120,1981,12,13,0
10120,1981,12,14,0
10120,1981,12,15,0
10120,1981,12,16,0
10120,1981,12,17,0
10120,1981,12,18,0
10120,1981,12,19,0
10120,1981,12,20,0
10120,1981,12,21,0
10120,1981,12,22,0
10120,1981,12,23,0
10120,1981,12,24,0
10120,1981,12,25,0
10120,1981,12,26,0
10120,1981,12,27,0
10120,1981,12,28,0
10120,1981,12,29,0
10120,1981,12,30,0
10120,1981,12,31,0
10120,1982,1,1,0
10120,1982,1,2,0
10120,1982,1,3,0
10120,1982,1,4,0
10120,1982,1,5,0
10120,1982,1,6,0
10120,1982,1,7,0
10120,1982,1,8,0
10120,1982,1,9,0
10120,1982,1,10,0
10120,1982,1,11,0
10120,1982,1,12,0
10120,1982,1,13,0
10120,1982,1,14,0
10120,1982,1,15,0
10120,1982,1,16,0
10120,1982,1,17,0
10120,1982,1,18,0
10120,1982,1,19,0
10120,1982,1,20,0
10120,1982,1,21,0
10120,1982,1,22,0
10120,1982,1,23,0
10120,1982,1,24,0
10120,1982,1,25,0
10120,1982,1,26,0
10120,1982,1,27,0
10120,1982,1,28,0
10120,1982,1,29,0
10120,1982,1,30,0
10120,1982,1,31,0
10120,1982,2,1,0
10120,1982,2,2,0
10120,1982,2,3,0
10120,1982,2,4,0
10120,1982,2,5,0
10120,1982,2,6,0
10120,1982,2,7,0
10120,1982,2,8,0
10120,1982,2,9,0
10120,1982,2,10,0
10120,1982,2,11,0
10120,1982,2,12,0
10120,1982,2,13,0
10120,1982,2,14,0
10120,1982,2,15,0
10120,1982,2,16,0
10120,1982,2,17,2
10120,1982,2,18,0
10120,1982,2,19,0
10120,1982,2,20,0
10120,1982,2,21,0
10120,1982,2,22,0
10120,1982,2,23,0
10120,1982,2,24,0
10120,1982,2,25,0
10120,1982,2,26,0
10120,1982,2,27,0
10120,1982,2,28,0
10120,1982,3,1,0
10120,1982,3,2,2
10120,1982,3,3,1
10120,1982,3,4,0
10120,1982,3,5,0
10120,1982,3,6,0
10120,1982,3,7,5
10120,1982,3,8,0
10120,1982,3,9,0
10120,1982,3,10,0
10120,1982,3,11,0
10120,1982,3,12,0
10120,1982,3,13,0
10120,1982,3,14,0
10120,1982,3,15,0
10120,1982,3,16,0
10120,1982,3,17,0
10120,1982,3,18,0
10120,1982,3,19,0
10120,1982,3,20,0
10120,1982,3,21,0
10120,1982,3,22,0
10120,1982,3,23,0
10120,1982,3,24,0
10120,1982,3,25,0
10120,1982,3,26,0
10120,1982,3,27,0
10120,1982,3,28,0
10120,1982,3,29,0
10120,1982,3,30,0
10120,1982,3,31,0
10120,1982,4,1,0
10120,1982,4,2,0
10120,1982,4,3,0
10120,1982,4,4,0
10120,1982,4,5,0
10120,1982,4,6,0
10120,1982,4,7,0
10120,1982,4,8,0
10120,1982,4,9,0
10120,1982,4,10,0
10120,1982,4,11,0
10120,1982,4,12,0
10120,1982,4,13,12
10120,1982,4,14,11
10120,1982,4,15,17
10120,1982,4,16,10
10120,1982,4,17,0
10120,1982,4,18,20
10120,1982,4,19,0
10120,1982,4,20,3
10120,1982,4,21,0
10120,1982,4,22,0
10120,1982,4,23,0
10120,1982,4,24,0
10120,1982,4,25,4
10120,1982,4,26,0
10120,1982,4,27,0
10120,1982,4,28,34
10120,1982,4,29,0
10120,1982,4,30,0
10120,1982,5,1,0
10120,1982,5,2,0
10120,1982,5,3,0
10120,1982,5,4,0
10120,1982,5,5,0
10120,1982,5,6,0
10120,1982,5,7,0
10120,1982,5,8,0
10120,1982,5,9,0
10120,1982,5,10,0
10120,1982,5,11,0
10120,1982,5,12,0
10120,1982,5,13,15
10120,1982,5,14,0
10120,1982,5,15,9
10120,1982,5,16,0
10120,1982,5,17,0
10120,1982,5,18,0
10120,1982,5,19,0
10120,1982,5,20,0
10120,1982,5,21,0
10120,1982,5,22,0
10120,1982,5,23,0
10120,1982,5,24,0
10120,1982,5,25,0
10120,1982,5,26,0
10120,1982,5,27,0
10120,1982,5,28,37
10120,1982,5,29,26
10120,1982,5,30,5
10120,1982,5,31,9
10120,1982,6,1,0
10120,1982,6,2,0
10120,1982,6,3,0
10120,1982,6,4,8
10120,1982,6,5,2
10120,1982,6,6,0
10120,1982,6,7,0
10120,1982,6,8,6
10120,1982,6,9,65
10120,1982,6,10,1
10120,1982,6,11,0
10120,1982,6,12,1
10120,1982,6,13,0
10120,1982,6,14,14
10120,1982,6,15,33
10120,1982,6,16,42
10120,1982,6,17,0
10120,1982,6,18,4
10120,1982,6,19,2
10120,1982,6,20,2
10120,1982,6,21,22
10120,1982,6,22,0
10120,1982,6,23,2
10120,1982,6,24,0
10120,1982,6,25,22
10120,1982,6,26,17
10120,1982,6,27,19
10120,1982,6,28,1
10120,1982,6,29,1
10120,1982,6,30,0
10120,1982,7,1,2
10120,1982,7,2,0
10120,1982,7,3,11
10120,1982,7,4,0
10120,1982,7,5,0
10120,1982,7,6,0
10120,1982,7,7,15
10120,1982,7,8,11
10120,1982,7,9,2
10120,1982,7,10,1
10120,1982,7,11,5
10120,1982,7,12,0
10120,1982,7,13,33
10120,1982,7,14,0
10120,1982,7,15,3
10120,1982,7,16,0
10120,1982,7,17,0
10120,1982,7,18,0
10120,1982,7,19,0
10120,1982,7,20,12
10120,1982,7,21,3
10120,1982,7,22,5
10120,1982,7,23,18
10120,1982,7,24,5
10120,1982,7,25,38
10120,1982,7,26,26
10120,1982,7,27,58
10120,1982,7,28,5
10120,1982,7,29,6
10120,1982,7,30,0
10120,1982,7,31,1
10120,1982,8,1,2
10120,1982,8,2,0
10120,1982,8,3,11
10120,1982,8,4,109
10120,1982,8,5,54
10120,1982,8,6,12
10120,1982,8,7,0
10120,1982,8,8,0
10120,1982,8,9,2
10120,1982,8,10,0
10120,1982,8,11,0
10120,1982,8,12,0
10120,1982,8,13,0
10120,1982,8,14,0
10120,1982,8,15,8
10120,1982,8,16,0
10120,1982,8,17,0
10120,1982,8,18,0
10120,1982,8,19,0
10120,1982,8,20,1
10120,1982,8,21,31
10120,1982,8,22,7
10120,1982,8,23,15
10120,1982,8,24,35
10120,1982,8,25,3
10120,1982,8,26,1
10120,1982,8,27,0
10120,1982,8,28,23
10120,1982,8,29,0
10120,1982,8,30,24
10120,1982,8,31,23
10120,1982,9,1,6
10120,1982,9,2,0
10120,1982,9,3,0
10120,1982,9,4,36
10120,1982,9,5,0
10120,1982,9,6,0
10120,1982,9,7,0
10120,1982,9,8,0
10120,1982,9,9,0
10120,1982,9,10,1
10120,1982,9,11,11
10120,1982,9,12,33
10120,1982,9,13,0
10120,1982,9,14,16
10120,1982,9,15,10
10120,1982,9,16,14
10120,1982,9,17,0
10120,1982,9,18,7
10120,1982,9,19,0
10120,1982,9,20,19
10120,1982,9,21,11
10120,1982,9,22,0
10120,1982,9,23,0
10120,1982,9,24,0
10120,1982,9,25,0
10120,1982,9,26,0
10120,1982,9,27,0
10120,1982,9,28,0
10120,1982,9,29,0
10120,1982,9,30,0
10120,1982,10,1,0
10120,1982,10,2,0
10120,1982,10,3,0
10120,1982,10,4,0
10120,1982,10,5,0
10120,1982,10,6,0
10120,1982,10,7,0
10120,1982,10,8,0
10120,1982,10,9,0
10120,1982,10,10,0
10120,1982,10,11,0
10120,1982,10,12,0
10120,1982,10,13,0
10120,1982,10,14,0
10120,1982,10,15,0
10120,1982,10,16,0
10120,1982,10,17,0
10120,1982,10,18,0
10120,1982,10,19,0
10120,1982,10,20,0
10120,1982,10,21,0
10120,1982,10,22,0
10120,1982,10,23,40
10120,1982,10,24,2
10120,1982,10,25,0
10120,1982,10,26,0
10120,1982,10,27,0
10120,1982,10,28,0
10120,1982,10,29,0
10120,1982,10,30,0
10120,1982,10,31,0
10120,1982,11,1,0
10120,1982,11,2,0
10120,1982,11,3,0
10120,1982,11,4,0
10120,1982,11,5,0
10120,1982,11,6,0
10120,1982,11,7,0
10120,1982,11,8,0
10120,1982,11,9,0
10120,1982,11,10,4
10120,1982,11,11,25
10120,1982,11,12,0
10120,1982,11,13,0
10120,1982,11,14,0
10120,1982,11,15,0
10120,1982,11,16,0
10120,1982,11,17,0
10120,1982,11,18,0
10120,1982,11,19,0
10120,1982,11,20,0
10120,1982,11,21,0
10120,1982,11,22,0
10120,1982,11,23,0
10120,1982,11,24,0
10120,1982,11,25,0
10120,1982,11,26,0
10120,1982,11,27,0
10120,1982,11,28,0
10120,1982,11,29,0
10120,1982,11,30,0
10120,1982,12,1,0
10120,1982,12,2,0
10120,1982,12,3,0
10120,1982,12,4,0
10120,1982,12,5,0
10120,1982,12,6,0
10120,1982,12,7,0
10120,1982,12,8,0
10120,1982,12,9,0
10120,1982,12,10,0
10120,1982,12,11,0
10120,1982,12,12,0
10120,1982,12,13,0
10120,1982,12,14,0
10120,1982,12,15,0
10120,1982,12,16,0
10120,1982,12,17,0
10120,1982,12,18,0
10120,1982,12,19,0
10120,1982,12,20,0
10120,1982,12,21,0
10120,1982,12,22,0
10120,1982,12,23,0
10120,1982,12,24,0
10120,1982,12,25,0
10120,1982,12,26,0
10120,1982,12,27,0
10120,1982,12,28,0
10120,1982,12,29,0
10120,1982,12,30,0
10120,1982,12,31,0
10120,1983,1,1,0
10120,1983,1,2,0
10120,1983,1,3,0
10120,1983,1,4,0
10120,1983,1,5,0
10120,1983,1,6,0
10120,1983,1,7,0
10120,1983,1,8,0
10120,1983,1,9,0
10120,1983,1,10,0
10120,1983,1,11,0
10120,1983,1,12,0
10120,1983,1,13,0
10120,1983,1,14,0
10120,1983,1,15,0
10120,1983,1,16,0
10120,1983,1,17,0
10120,1983,1,18,0
10120,1983,1,19,0
10120,1983,1,20,0
10120,1983,1,21,0
10120,1983,1,22,0
10120,1983,1,23,0
10120,1983,1,24,0
10120,1983,1,25,0
10120,1983,1,26,0
10120,1983,1,27,0
10120,1983,1,28,0
10120,1983,1,29,11
10120,1983,1,30,0
10120,1983,1,31,0
10120,1983,2,1,0
10120,1983,2,2,0
10120,1983,2,3,0
10120,1983,2,4,0
10120,1983,2,5,0
10120,1983,2,6,0
10120,1983,2,7,0
10120,1983,2,8,0
10120,1983,2,9,0
10120,1983,2,10,0
10120,1983,2,11,0
10120,1983,2,12,0
10120,1983,2,13,0
10120,1983,2,14,0
10120,1983,2,15,0
10120,1983,2,16,0
10120,1983,2,17,0
10120,1983,2,18,0
10120,1983,2,19,0
10120,1983,2,20,0
10120,1983,2,21,0
10120,1983,2,22,0
10120,1983,2,23,0
10120,1983,2,24,0
10120,1983,2,25,0
10120,1983,2,26,0
10120,1983,2,27,0
10120,1983,2,28,0
10120,1983,3,1,0
10120,1983,3,2,0
10120,1983,3,3,0
10120,1983,3,4,0
10120,1983,3,5,0
10120,1983,3,6,0
10120,1983,3,7,0
10120,1983,3,8,0
10120,1983,3,9,0
10120,1983,3,10,0
10120,1983,3,11,0
10120,1983,3,12,0
10120,1983,3,13,0
10120,1983,3,14,0
10120,1983,3,15,0
10120,1983,3,16,5
10120,1983,3,17,0
10120,1983,3,18,0
10120,1983,3,19,0
10120,1983,3,20,0
10120,1983,3,21,15
10120,1983,3,22,0
10120,1983,3,23,0
10120,1983,3,24,0
10120,1983,3,25,0
10120,1983,3,26,0
10120,1983,3,27,0
10120,1983,3,28,0
10120,1983,3,29,0
10120,1983,3,30,0
10120,1983,3,31,0
10120,1983,4,1,0
10120,1983,4,2,0
10120,1983,4,3,0
10120,1983,4,4,0
10120,1983,4,5,0
10120,1983,4,6,0
10120,1983,4,7,0
10120,1983,4,8,0
10120,1983,4,9,0
10120,1983,4,10,0
10120,1983,4,11,0
10120,1983,4,12,0
10120,1983,4,13,0
10120,1983,4,14,2
10120,1983,4,15,0
10120,1983,4,16,2
10120,1983,4,17,1
10120,1983,4,18,0
10120,1983,4,19,4
10120,1983,4,20,0
10120,1983,4,21,0
10120,1983,4,22,0
10120,1983,4,23,0
10120,1983,4,24,0
10120,1983,4,25,0
10120,1983,4,26,0
10120,1983,4,27,0
10120,1983,4,28,0
10120,1983,4,29,0
10120,1983,4,30,0
10120,1983,5,1,2
10120,1983,5,2,32
10120,1983,5,3,0
10120,1983,5,4,0
10120,1983,5,5,0
10120,1983,5,6,29
10120,1983,5,7,0
10120,1983,5,8,0
10120,1983,5,9,20
10120,1983,5,10,56
10120,1983,5,11,2
10120,1983,5,12,5
10120,1983,5,13,0
10120,1983,5,14,0
10120,1983,5,15,0
10120,1983,5,16,0
10120,1983,5,17,0
10120,1983,5,18,0
10120,1983,5,19,7
10120,1983,5,20,76
10120,1983,5,21,15
10120,1983,5,22,27
10120,1983,5,23,33
10120,1983,5,24,2
10120,1983,5,25,0
10120,1983,5,26,0
10120,1983,5,27,0
10120,1983,5,28,0
10120,1983,5,29,0
10120,1983,5,30,5
10120,1983,5,31,0
10120,1983,6,1,0
10120,1983,6,2,0
10120,1983,6,3,0
10120,1983,6,4,0
10120,1983,6,5,4
10120,1983,6,6,0
10120,1983,6,7,0
10120,1983,6,8,0
10120,1983,6,9,11
10120,1983,6,10,12
10120,1983,6,11,0
10120,1983,6,12,0
10120,1983,6,13,0
10120,1983,6,14,0
10120,1983,6,15,0
10120,1983,6,16,8
10120,1983,6,17,17
10120,1983,6,18,0
10120,1983,6,19,0
10120,1983,6,20,0
10120,1983,6,21,0
10120,1983,6,22,18
10120,1983,6,23,0
10120,1983,6,24,25
10120,1983,6,25,0
10120,1983,6,26,0
